"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Nov 2023 18:01:04.089,1 Nov 2023 18:08:32.115,448.026
2,2 Nov 2023 10:42:31.826,2 Nov 2023 10:56:28.415,836.590
3,2 Nov 2023 12:43:07.344,2 Nov 2023 12:57:54.204,886.860
4,2 Nov 2023 14:45:17.531,2 Nov 2023 14:57:55.854,758.323
5,2 Nov 2023 16:47:46.459,2 Nov 2023 16:57:16.445,569.985
6,3 Nov 2023 09:30:05.709,3 Nov 2023 09:43:11.700,785.991
7,3 Nov 2023 11:29:24.240,3 Nov 2023 11:45:56.751,992.511
8,3 Nov 2023 13:31:24.401,3 Nov 2023 13:46:18.386,893.985
9,3 Nov 2023 15:34:06.011,3 Nov 2023 15:45:50.283,704.272
10,3 Nov 2023 17:37:19.624,3 Nov 2023 17:44:05.622,405.999
11,4 Nov 2023 08:19:11.728,4 Nov 2023 08:27:51.702,519.974
12,4 Nov 2023 10:15:43.975,4 Nov 2023 10:33:28.051,1064.076
13,4 Nov 2023 12:17:10.061,4 Nov 2023 12:34:27.027,1036.966
14,4 Nov 2023 14:19:57.342,4 Nov 2023 14:34:13.690,856.349
15,4 Nov 2023 16:23:04.076,4 Nov 2023 16:33:07.235,603.159
16,5 Nov 2023 09:02:26.508,5 Nov 2023 09:20:10.358,1063.850
17,5 Nov 2023 11:02:46.294,5 Nov 2023 11:22:13.580,1167.287
18,5 Nov 2023 13:05:22.164,5 Nov 2023 13:22:23.356,1021.192
19,5 Nov 2023 15:08:36.994,5 Nov 2023 15:21:40.090,783.095
20,5 Nov 2023 17:12:39.056,5 Nov 2023 17:19:13.656,394.600
21,6 Nov 2023 07:50:05.785,6 Nov 2023 08:05:28.966,923.180
22,6 Nov 2023 09:48:28.352,6 Nov 2023 10:09:27.966,1259.614
23,6 Nov 2023 11:50:28.543,6 Nov 2023 12:10:14.294,1185.750
24,6 Nov 2023 13:53:45.849,6 Nov 2023 14:09:52.733,966.884
25,6 Nov 2023 15:57:26.197,6 Nov 2023 16:08:26.487,660.290
